--
[0, -0.5, 0, -2, 0, 2, 0]
[0.269697, 0.380157, 0.486762, -2.23295, 0.840609, 2.55411, 0.101823]
[-0.306443, 0.180113, -0.457793, -2.31453, -0.362685, 1.98745, -0.10082]
[0.385314, 0.256583, 0.477702, -2.3253, 0.278456, 2.40203, 0.0988034]
[0.138946, 0.012629, 0.125035, -2.5266, 0.00881173, 1.99783, -0.0993897]
[0.309656, 0.174967, 0.354638, -2.4203, 0.49219, 2.33345, 0.1]
[-0.440175, 0.0773201, -0.406606, -2.52769, -0.558359, 1.99727, -0.0999995]
--
[0, -0.5, 0, -2, 0, 2, 0]
[0.318963, 0.477763, 0.450631, -2.05061, 0.492193, 2.37835, 0.0999988]
[-0.295471, 0.0410863, -0.419762, -2.59865, -0.696533, 2.18566, -0.0999984]
[0.353003, 0.21855, 0.473456, -2.40447, 0.574618, 2.48837, 0.0999322]
[0.152695, 0.186719, 0.0803186, -2.33785, 0.252304, 2.26144, -0.1]
[0.230916, 0.172697, 0.438725, -2.41833, 0.326372, 2.31683, 0.0996535]
[-0.378586, 0.1336, -0.355197, -2.39752, -0.528972, 2.15362, -0.0716399]
