--
[0, -0.5, 0, -2, 0, 2, 0]
[0.519432, 0.192782, 0.455923, -2.37413, 0.185465, 2.57516, 0.100423]
[-0.242453, 0.110055, -0.0769327, -2.64429, -1.1821, 2.07429, 0.0848474]
[0.374375, 0.403174, 0.486861, -2.14803, 0.257837, 2.45358, 0.0996745]
[0.136416, 0.0399248, 0.153535, -2.49611, 0.0399509, 2.11593, -0.1]
[0.411858, 0.14905, 0.437774, -2.50747, 0.690472, 2.24664, 0.0995906]
[-0.467332, 0.0805143, -0.446299, -2.48038, -0.624947, 2.15005, -0.0921033]
--
[0, -0.5, 0, -2, 0, 2, 0]
[0.298477, 0.334853, 0.677484, -2.42394, 0.530176, 3.0004, 0.0281375]
[-0.871431, 0.690941, -0.284795, -1.88496, -1.38964, 2.93491, 0.0357625]
[0.490934, 0.356699, 0.419826, -2.19075, 0.0674733, 2.52542, 0.100003]
[0.137056, 0.00329884, 0.311037, -2.54024, 0.0176732, 2.20092, -0.100015]
[0.523277, 0.104221, 0.440756, -2.52455, 0.514899, 2.32986, 0.0614177]
[-0.473997, 0.0678205, -0.411277, -2.49667, -0.458194, 2.08991, -0.0898904]
