--
[0, -0.5, 0, -2, 0, 2, 0]
[0.473352, 0.176355, 0.28235, -2.40572, 0.415709, 2.27811, 0.0999558]
[-0.543965, 0.145337, -0.127064, -2.36955, -0.557284, 2.18266, 0.0999712]
[0.271027, 0.293415, 0.514912, -2.33583, 0.341908, 2.65522, 0.0983226]
[0.120942, 0.0246802, 0.114372, -2.47186, 0.0729805, 2.13481, -0.055621]
[0.445345, 0.104389, 0.509702, -2.51511, 0.460776, 2.35802, 0.0981903]
[-0.379087, 0.1266, -0.360698, -2.4769, -0.529661, 2.01598, -0.100442]
--
[0, -0.5, 0, -2, 0, 2, 0]
[1.00588, 0.511835, -0.031596, -1.94156, -0.297321, 1.87286, 0.100054]
[-1.00016, 0.3038, -0.521456, -2.43523, -2.09736, 3.00001, -0.100046]
[0.54759, 0.269087, 0.227902, -2.3237, 0.612512, 2.60474, 0.0994096]
[-0.121004, 0.196784, 0.266181, -2.33136, 0.215545, 2.37924, -0.0812513]
[0.406751, 0.254783, 0.443515, -2.41409, 0.622769, 2.19396, 0.0963725]
[-0.490055, 0.018525, -0.410619, -2.65013, -0.514642, 2.41148, -0.0206229]
